,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
8,0,24.0795907175412,19.505023089272,24.1421067504636,6.23135251984104,6.19505268323148,5.64261867664405,7.26714459140276
11,0,33.5832762809233,35.285711147418,23.6015564270431,11.0768119792242,10.0563045382224,6.46620226693685,8.23464888233238
12,0,33.7670840985482,34.9932107678806,23.9013731168104,11.0054853400101,10.1079655612059,6.59528467568918,9.06821081416364
13,0,33.3715578074306,34.9600065541242,24.0674985317708,11.2030021150871,10.2542214573072,6.85032731218818,8.96286978371967
16,0,33.8829248064484,35.2649732494891,42.0890929086514,11.4783740240154,13.1513683310098,7.34873400417542,10.2569543796038
20,0,34.427801979309,36.0974617131348,42.9809952861683,17.9140343260811,15.5786120932968,7.8891996029468,11.4869709091717
24,0,57.3903117155291,57.1055204430402,43.0157487252286,18.0628893189217,15.80885615078,8.24028137332956,12.2152980909627
48,0,89.4569333892969,85.8289284492635,85.4349036364756,26.8310581932425,22.3608404924301,9.41409806782823,15.017620045058
72,0,108.775841723868,101.474533702672,106.71619294222,33.5260020227526,25.8991542791113,9.82810755229067,16.1560156307669
96,0,122.354078422569,113.086766886324,115.273923652729,36.1889235564123,27.67733090165,9.9868765141769,17.0638348093764
120,0,131.501768228512,120.472163781467,124.740677105326,39.0663161760071,29.2076505491811,10.1105001674742,17.2035179622846
